OBJECTID,Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id,ORIG_FID
45,20,Finocchierelle,settlement,Roman,-350,400,12.719264710599999,41.442033334850002,A,0.100000000000000,F,Attema et al. 2010,11223,44
46,21,Finocchierelle,settlement,Roman,-350,400,12.718193953140000,41.441790629830003,A,0.100000000000000,F,Attema et al. 2010,11224,45
47,22,Finocchierelle,settlement,Roman,-350,400,12.716480741220000,41.442304593410000,A,0.100000000000000,F,Attema et al. 2010,11225,46
48,23,Finocchierelle,settlement,Roman,-350,400,12.715567028190000,41.442818556980001,A,0.100000000000000,F,Attema et al. 2010,11226,47
49,24,Finocchierelle,settlement,Roman,-350,400,12.712311925540000,41.444660259800003,A,0.400000000000000,F,Attema et al. 2010,11227,48
50,25,Finocchierelle,settlement,Roman,-350,400,12.711027016590000,41.444603152740001,A,0.100000000000000,F,Attema et al. 2010,11228,49
51,26,Finocchierelle,settlement,Roman,-350,400,12.709265808850001,41.445485750970001,A,0.100000000000000,F,Attema et al. 2010,11229,50
52,27,Finocchierelle,settlement,Roman,-350,400,12.721362586660000,41.442836935270002,A,0.100000000000000,F,Attema et al. 2010,11230,51
53,28,Finocchierelle,settlement,Roman,-350,400,12.716454948330000,41.444353841670001,A,0.100000000000000,F,Attema et al. 2010,11231,52
54,29,Finocchierelle,settlement,Roman,-350,400,12.719875423530000,41.442836935270002,A,0.100000000000000,F,Attema et al. 2010,11232,53
55,30,Finocchierelle,settlement,Roman,-350,400,12.713301374709999,41.446818249129997,A,0.100000000000000,F,Attema et al. 2010,11233,54
56,31,Finocchierelle,settlement,Roman,-350,400,12.716632620120000,41.446075857300002,A,0.100000000000000,F,Attema et al. 2010,11234,55
57,32,Finocchierelle,settlement,Roman,-350,400,12.720287472230000,41.444857573269999,A,0.100000000000000,F,Attema et al. 2010,11235,56
58,33,Finocchierelle,settlement,Roman,-350,400,12.720249400849999,41.446304285559997,A,0.100000000000000,F,Attema et al. 2010,11236,57
59,34,Finocchierelle,settlement,Roman,-350,400,12.716861048380000,41.446780177759997,A,0.100000000000000,F,Attema et al. 2010,11237,58
60,35,Finocchierelle,settlement,Roman,-350,400,12.715071693700001,41.448207854360000,A,0.100000000000000,F,Attema et al. 2010,11238,59
61,36,Finocchierelle,settlement,Roman,-350,400,12.714157980680000,41.450968029130003,A,0.100000000000000,F,Attema et al. 2010,11239,60
62,37,Finocchierelle,settlement,Roman,-350,400,12.719716401590000,41.448379175550002,A,0.100000000000000,F,Attema et al. 2010,11240,61
63,38,Finocchierelle,settlement,Roman,-350,400,12.721772255890000,41.447693890789999,A,0.100000000000000,F,Attema et al. 2010,11241,62
64,39,Finocchierelle,settlement,Roman,-350,400,12.723333182310000,41.447122820140002,A,0.100000000000000,F,Attema et al. 2010,11242,63
65,40,Selvapiana,settlement,Roman,-350,400,12.723809074520000,41.448969281879997,A,0.100000000000000,F,Attema et al. 2010,11243,64
66,41,Selvapiana,settlement,Roman,-350,400,12.720116151030000,41.449825887849997,A,0.100000000000000,F,Attema et al. 2010,11244,65
67,42,Selvapiana,settlement,Roman,-350,400,12.717203690760000,41.451976920600003,A,0.100000000000000,F,Attema et al. 2010,11245,66
68,43,Selvapiana,settlement,Roman,-350,400,12.716727798559999,41.453975667839998,A,0.100000000000000,F,Attema et al. 2010,11246,67
69,44,Selvapiana,settlement,Roman,-350,400,12.718840759930000,41.452814490869997,A,0.100000000000000,F,Attema et al. 2010,11247,68
70,45,Selvapiana,settlement,Roman,-350,400,12.719752014539999,41.451330178329997,A,0.100000000000000,F,Attema et al. 2010,11248,69
71,46,Selvapiana,settlement,Roman,-350,400,12.721541369220001,41.451120785770001,A,0.100000000000000,F,Attema et al. 2010,11249,70
72,47,Selvapiana,settlement,Roman,-350,400,12.724396722420000,41.449940573109998,A,0.100000000000000,F,Attema et al. 2010,11250,71
73,48,Selvapiana,settlement,Roman,-350,400,12.725500792329999,41.450340322560002,A,0.100000000000000,F,Attema et al. 2010,11251,72
74,49,Selvapiana,settlement,Roman,-350,400,12.724244436919999,41.453309889890001,A,0.100000000000000,F,Attema et al. 2010,11252,73
75,50,Valle Foglino,settlement,Republican Period,-350,-30,12.703807325300000,41.448550496750002,A,0.500000000000000,F,Attema et al. 2010,11254,74
76,51,Valle Foglino,settlement,Roman,-350,400,12.706472321630001,41.449825887849997,A,0.100000000000000,F,Attema et al. 2010,11256,75
77,58,Spinacceto,settlement,Archaic Period,-600,-500,12.740691305329999,41.466359944730002,A,0.400000000000000,E,Attema et al. 2010,11277,76
78,58,Spinacceto,settlement,Post-Archaic Period,-500,-350,12.740691305329999,41.466359944730002,A,0.400000000000000,E,Attema et al. 2010,11277,77
79,58,Spinacceto,settlement,Republican Period,-250,-30,12.740691305329999,41.466359944730002,A,0.400000000000000,E,Attema et al. 2010,11277,78
80,58,Spinacceto,settlement,Imperial Period,-30,250,12.740691305329999,41.466359944730002,A,0.400000000000000,E,Attema et al. 2010,11277,79
81,62,Orti Maoni / Intossicata,settlement,Archaic Period,-600,-500,12.743267071869999,41.478043098270000,A,0.700000000000000,E,Attema et al. 2010,11281,80
82,62,Orti Maoni / Intossicata,settlement,Post-Archaic Period,-500,-350,12.743267071869999,41.478043098270000,A,0.700000000000000,E,Attema et al. 2010,11281,81
83,62,Orti Maoni / Intossicata,settlement,Republican Period,-250,-30,12.743267071869999,41.478043098270000,A,0.700000000000000,E,Attema et al. 2010,11281,82
84,62,Orti Maoni / Intossicata,settlement,Imperial Period,-30,250,12.743267071869999,41.478043098270000,A,0.700000000000000,E,Attema et al. 2010,11281,83
85,52,Valle Foglino,settlement,Roman,-350,400,12.706615089290000,41.452645549140001,A,0.100000000000000,F,Attema et al. 2010,11257,84
86,53,Pantano Potassa,settlement,Roman,-350,400,12.708578144620001,41.458499023210003,A,0.100000000000000,F,Attema et al. 2010,11258,85
87,54,Pantano Potassa,settlement,Roman,-350,400,12.708827988019999,41.460961765350000,A,0.100000000000000,F,Attema et al. 2010,11259,86
88,55,Riserva del Nespolo,settlement,Roman,-350,400,12.765975964330000,41.424284407249999,A,0.100000000000000,F,Attema et al. 2010,11262,87
89,56,Riserva del Nespolo,settlement,Roman,-350,400,12.765916477799999,41.426366435630001,A,0.100000000000000,F,Attema et al. 2010,11263,88
90,57,Riserva Mattone,settlement,Roman,-350,400,12.760800636640001,41.435824793130003,A,0.100000000000000,F,Attema et al. 2010,11264,89
91,59,Spinacceto,settlement,Roman,-350,400,12.742791179670000,41.467621059060001,A,0.100000000000000,F,Attema et al. 2010,11278,90
92,60,Pantano del'Intossicata,settlement,Roman,-350,400,12.744409213150000,41.469762573970002,A,0.100000000000000,F,Attema et al. 2010,11279,91
93,61,Orti Maoni / Intossicata,settlement,Archaic Period,-600,-500,12.745503765210000,41.472903462500000,A,0.100000000000000,F,Attema et al. 2010,11280,92
94,61,Orti Maoni / Intossicata,settlement,Republican,-350,-30,12.745503765210000,41.472903462500000,A,0.100000000000000,F,Attema et al. 2010,11280,93
95,63,unknown,settlement,Roman,-350,400,12.730525058180000,41.480862759559997,A,0.100000000000000,F,Attema et al. 2010,11282,94
96,64,Piscina della Farna,settlement,Roman,-350,400,12.727562629230000,41.481291062540002,A,0.100000000000000,F,Attema et al. 2010,11283,95
97,65,Piscina della Farna,settlement,Iron Age,-700,-600,12.726173024000000,41.482471275199998,A,0.040000000000000,E,Attema et al. 2010,11284,96
98,65,Piscina della Farna,settlement,Archaic Period,-500,-350,12.726173024000000,41.482471275199998,A,0.040000000000000,E,Attema et al. 2010,11284,97
99,65,Piscina della Farna,settlement,Republican Period,-250,-30,12.726173024000000,41.482471275199998,A,0.040000000000000,E,Attema et al. 2010,11284,98
100,65,Piscina della Farna,settlement,Imperial Period,-30,100,12.726173024000000,41.482471275199998,A,0.040000000000000,E,Attema et al. 2010,11284,99
101,66,Piscina dell Farna,settlement,Roman Period,-350,400,12.716500792610001,41.483101141779997,A,0.100000000000000,F,Attema et al. 2010,11285,100
102,67,Tre Cancelli,settlement,Imperial Period,-30,250,12.710461720580000,41.483229632670003,A,0.100000000000000,F,Attema et al. 2010,11286,101
103,68,Cadolino,settlement,Imperial Period,-30,250,12.668671280110001,41.490449877629999,A,0.100000000000000,F,Attema et al. 2010,15001,102
104,69,Cadolino,settlement,Imperial Period,-30,250,12.667205532130000,41.493381373580000,A,0.100000000000000,F,Attema et al. 2010,15002,103
105,70,Cadolino,settlement,Iron Age,-800,-700,12.662565583170000,41.492596151450002,A,1.000000000000000,E,Attema et al. 2010,15003,104
106,70,Cadolino,settlement,Imperial Period,-30,250,12.662565583170000,41.492596151450002,A,1.000000000000000,E,Attema et al. 2010,15003,105
107,71,Ospedaletto,settlement,Archaic Period,-600,-500,12.659567462300000,41.496260521400004,A,0.200000000000000,F,Attema et al. 2010,15004,106
108,71,Ospedaletto,settlement,Post-Archaic Period,-500,-350,12.659567462300000,41.496260521400004,A,0.200000000000000,F,Attema et al. 2010,15004,107
109,71,Ospedaletto,settlement,Republican Period,-250,-30,12.659567462300000,41.496260521400004,A,0.200000000000000,F,Attema et al. 2010,15004,108
110,71,Ospedaletto,settlement,Republican Period,-30,400,12.659567462300000,41.496260521400004,A,0.200000000000000,F,Attema et al. 2010,15004,109
111,72,Piscina Cardillo,settlement,Bronze Age,-1700,-1020,12.676673982680001,41.501822635480003,A,0.200000000000000,F,Attema et al. 2010,15005,110
112,72,Piscina Cardillo,settlement,Archaic Period,-600,-500,12.676673982680001,41.501822635480003,A,0.200000000000000,F,Attema et al. 2010,15005,111
113,72,Piscina Cardillo,settlement,Post-Archaic Period,-500,-350,12.676673982680001,41.501822635480003,A,0.200000000000000,F,Attema et al. 2010,15005,112
114,72,Piscina Cardillo,settlement,Republican Period,-350,-30,12.676673982680001,41.501822635480003,A,0.200000000000000,F,Attema et al. 2010,15005,113
115,72,Piscina Cardillo,settlement,Imperial Period,-30,250,12.676673982680001,41.501822635480003,A,0.200000000000000,F,Attema et al. 2010,15005,114
116,73,Campana,settlement,Bronze Age,-1700,-1020,12.671572418280000,41.505991451169997,A,0.200000000000000,F,Attema et al. 2010,15007,115
117,74,Campana,settlement,Imperial Period,-30,100,12.673333219420000,41.509941356440002,A,0.100000000000000,F,Attema et al. 2010,15008,116
118,74,Campana,settlement,Imperial Period,100,400,12.673333219420000,41.509941356440002,A,0.100000000000000,F,Attema et al. 2010,15008,117
119,75,Campana,settlement,Middle Bronze Age,-1700,-1350,12.671403486739999,41.505007588420000,A,1.000000000000000,E,Attema et al. 2010,15010,118
120,76,Campana,settlement,Archaic Period,-600,-500,12.664817138669999,41.505197945299997,A,1.000000000000000,E,Attema et al. 2010,15014,119
121,76,Campana,settlement,Republican Period,-350,-30,12.664817138669999,41.505197945299997,A,1.000000000000000,E,Attema et al. 2010,15014,120
122,76,Campana,settlement,Imperial Period,-30,400,12.664817138669999,41.505197945299997,A,1.000000000000000,E,Attema et al. 2010,15014,121
123,76,Campana,settlement,Late Antique/Early Medieval,400,700,12.664817138669999,41.505197945299997,A,1.000000000000000,E,Attema et al. 2010,15014,122
124,77,Campana,settlement,Republican Period,-100,-30,12.663012921829999,41.501057514789998,A,0.200000000000000,F,Attema et al. 2010,15015,123
125,77,Campana,settlement,Republican Period,-30,100,12.663012921829999,41.501057514789998,A,0.200000000000000,F,Attema et al. 2010,15015,124
126,78,Torre del Monumento,settlement,Republican Period,-350,-250,12.657813291009999,41.494403057059998,A,0.400000000000000,F,Attema et al. 2010,15019,125
127,78,Torre del Monumento,settlement,Republican Period,-250,-100,12.657813291009999,41.494403057059998,A,0.400000000000000,F,Attema et al. 2010,15019,126
128,78,Torre del Monumento,settlement,Imperial Period,-30,400,12.657813291009999,41.494403057059998,A,0.400000000000000,F,Attema et al. 2010,15019,127
129,78,Torre del Monumento,settlement,Late Antique/Early Medieval,400,600,12.657813291009999,41.494403057059998,A,0.400000000000000,F,Attema et al. 2010,15019,128
130,79,Torre del Monumento,settlement,Post-Archaic Period,-500,-350,12.657568715049999,41.493938167460001,A,0.100000000000000,F,Attema et al. 2010,15020,129
131,79,Torre del Monumento,settlement,Republican Period,-350,-100,12.657568715049999,41.493938167460001,A,0.100000000000000,F,Attema et al. 2010,15020,130
132,79,Torre del Monumento,settlement,Imperial Period,-30,250,12.657568715049999,41.493938167460001,A,0.100000000000000,F,Attema et al. 2010,15020,131
133,80, ,settlement,Roman,-350,400,12.656022065400000,41.489940672970000,A,0.100000000000000,F,Attema et al. 2010,15021,132
134,81,Pineta della Campana,settlement,Iron Age,-700,-600,12.670644428490000,41.513748494040001,A,0.080000000000000,E,Attema et al. 2010,15029,133
135,81,Pineta della Campana,settlement,Archaic Period,-600,-500,12.670644428490000,41.513748494040001,A,0.080000000000000,E,Attema et al. 2010,15029,134
136,81,Pineta della Campana,settlement,Republican Period,-250,-30,12.670644428490000,41.513748494040001,A,0.080000000000000,E,Attema et al. 2010,15029,135
137,81,Pineta della Campana,settlement,Imperial Period,-300,400,12.670644428490000,41.513748494040001,A,0.080000000000000,E,Attema et al. 2010,15029,136
138,82,Pineta della Campana,settlement,Roman,-350,400,12.669787822529999,41.514034029370002,A,0.100000000000000,F,Attema et al. 2010,15030,137
139,83,Campana,settlement,Iron Age,-800,-700,12.670692017710000,41.508846804370002,A,0.100000000000000,F,Attema et al. 2010,15032,138
140,84,Piscina Cardillo,settlement,Iron Age,-800,-700,12.676502661480001,41.504835033120003,A,0.100000000000000,F,Attema et al. 2010,15033,139
141,85,Campana,settlement,Archaic Period,-600,-500,12.670049563239999,41.502550750550000,A,0.090000000000000,E,Attema et al. 2010,15034,140
142,85,Campana,settlement,Post-Archaic Period,-500,-350,12.670049563239999,41.502550750550000,A,0.090000000000000,E,Attema et al. 2010,15034,141
143,86,Campana,settlement,Roman Period,-350,400,12.650419009940000,41.511902032300000,A,0.100000000000000,F,Attema et al. 2010,15035,142
144,87,Campana,settlement,Iron Age,-800,-700,12.662190213720001,41.503256305119997,A,0.800000000000000,E,Attema et al. 2010,15036,143
145,87,Campana,settlement,Archaic Period,-500,-350,12.662190213720001,41.503256305119997,A,0.800000000000000,E,Attema et al. 2010,15036,144
146,87,Campana,settlement,Republican Period,-250,-30,12.662190213720001,41.503256305119997,A,0.800000000000000,E,Attema et al. 2010,15036,145
147,87,Campana,settlement,Imperial Period,-30,250,12.662190213720001,41.503256305119997,A,0.800000000000000,E,Attema et al. 2010,15036,146
148,88,Opsedaletto,settlement,Roman,-350,400,12.659852997620000,41.498639982409998,A,0.100000000000000,F,Attema et al. 2010,15037,147
149,89,Campana,settlement,Post-Archaic Period,-500,-350,12.671229775900001,41.500628146060002,A,0.100000000000000,F,Attema et al. 2010,15038,148
150,89,Campana,settlement,Republican Period,-350,-100,12.671229775900001,41.500628146060002,A,0.100000000000000,F,Attema et al. 2010,15038,149
151,89,Campana,settlement,Imperial Period,100,250,12.671229775900001,41.500628146060002,A,0.100000000000000,F,Attema et al. 2010,15038,150
152,90,Ospedaletto,settlement,Roman,-350,400,12.661478169490000,41.499915373509999,A,0.100000000000000,F,Attema et al. 2010,15039,151
153,91,Piscina Cardillo,settlement,Iron Age,-700,-600,12.695496155440001,41.495782950970003,A,0.100000000000000,F,Attema et al. 2010,15040,152
154,92,Piscina Cardillo,settlement,Roman,-350,400,12.686834917380001,41.495668736850000,A,0.100000000000000,F,Attema et al. 2010,15041,153
155,93,Loricina,settlement,Iron Age,-800,-700,12.673452917650000,41.475850757389999,A,0.100000000000000,F,Attema et al. 2010,15044,154
156,94,Intossicata,settlement,Roman,-350,400,12.727898133229999,41.482483172510001,A,0.100000000000000,F,Attema et al. 2010,15046,155
157,95,Intossicata,settlement,Roman,-350,400,12.731274588400000,41.476401270170001,A,0.100000000000000,F,Attema et al. 2010,15047,156
158,96,I Marmi,settlement,Republican Period,-350,-30,12.641697710140001,41.468047718530002,A,0.100000000000000,F,Attema et al. 2010,15049,157
159,97,Contrada Tinozzi,settlement,Republican Period,-350,400,12.656295703410001,41.471652601960002,A,0.100000000000000,F,Attema et al. 2010,15050,158
160,98,Pantano Granieri,settlement,Republican Period,-350,-30,12.703236254660000,41.461735090179999,A,0.100000000000000,F,Attema et al. 2010,15051,159
161,99,Nettuno,settlement,Roman,-350,400,12.656724006399999,41.458161058050003,A,0.100000000000000,F,Attema et al. 2010,15052,160
162,100,Nettuno,settlement,Roman,-350,400,12.659151056620001,41.457185479040000,A,0.100000000000000,F,Attema et al. 2010,15053,161
163,102,Nettuno,settlement,Roman,-350,400,12.661340160749999,41.457423425140000,A,0.100000000000000,F,Attema et al. 2010,15058,162
164,103,Nettuno,settlement,Roman,-350,400,12.661935026000000,41.458613155649999,A,0.100000000000000,F,Attema et al. 2010,15057,163
165,104,Nettuno,settlement,Roman,-350,400,12.678995761410000,41.454865504559997,A,0.100000000000000,F,Attema et al. 2010,15057,164
166,105, ,settlement,Roman,-350,400,12.694521744470000,41.460540519059997,A,0.100000000000000,F,Attema et al. 2010,15060,165
167,101,Loricina,settlement,Roman,-350,400,12.665099709140000,41.461611276509998,A,0.100000000000000,F,Attema et al. 2010,15056,166
168,106,Campana,settlement,Roman,-350,400,12.647710746050000,41.512283296459998,A,0.100000000000000,F,Attema et al. 2010,15066,167
169,107,Campana,settlement,Roman,-350,400,12.651446499830000,41.510094192330001,A,0.100000000000000,F,Attema et al. 2010,15067,168
170,108,Campana,settlement,Bronze Age,-1700,-1350,12.672452818849999,41.502979053529998,A,0.100000000000000,E,Attema et al. 2010,15068,169
171,109,Campana,settlement,Iron Age,-700,-600,12.672452818849999,41.502979053529998,A,0.100000000000000,E,Attema et al. 2010,15068,170
172,110,Campana,settlement,Post-Archaic Period,-500,-350,12.672452818849999,41.502979053529998,A,0.100000000000000,E,Attema et al. 2010,15068,171
173,111,Campana,settlement,Republican Period,-350,-30,12.672452818849999,41.502979053529998,A,0.100000000000000,E,Attema et al. 2010,15068,172
174,112,Laghetto Granieri,settlement,Roman,-350,400,12.701506419119999,41.469121841229999,A,0.100000000000000,F,Attema et al. 2010,15069,173
175,113,Loricina,settlement,Republican Period,-100,-30,12.668478543759999,41.461539892680001,A,0.100000000000000,F,Attema et al. 2010,15070,174
176,113,Loricina,settlement,Republican Period,-30,250,12.668478543759999,41.461539892680001,A,0.100000000000000,F,Attema et al. 2010,15070,175
177,114,Villa Borghese,settlement,Iron Age,-700,-600,12.647693951879999,41.455876775489997,A,0.100000000000000,F,Attema et al. 2010,15072,176
178,114,Villa Borghese,settlement,Archaic Period,-600,-500,12.647693951879999,41.455876775489997,A,0.100000000000000,F,Attema et al. 2010,15072,177
179,114,Villa Borghese,settlement,Republican Period,-350,-30,12.647693951879999,41.455876775489997,A,0.100000000000000,F,Attema et al. 2010,15072,178
180,114,Villa Borghese,settlement,Imperial Period,-30,250,12.647693951879999,41.455876775489997,A,0.100000000000000,F,Attema et al. 2010,15072,179
181,115,Cerreto Regina Margherita,settlement,Iron Age,-800,-600,12.701791954440001,41.476022278140000,A,0.100000000000000,F,Attema et al. 2010,15073,180
182,116, ,settlement,Iron Age,-800,-600,12.728548960840000,41.455441415819998,A,0.100000000000000,F,Attema et al. 2010,15074,181
183,117,Pantano Potassa,settlement,Iron Age,-800,-600,12.711588162789999,41.458867839669999,A,0.100000000000000,F,Attema et al. 2010,15075,182
184,118,Spinacceto,settlement,Archaic Period,-600,-500,12.739111343219999,41.467444978949999,A,0.100000000000000,F,Attema et al. 2010,15076,183
185,119,Campana,settlement,Middle Bronze Age,-1700,-1350,12.673918566830000,41.512168531939999,A,0.100000000000000,F,Attema et al. 2010,15078,184
186,119,Campana,settlement,Imperial Period,-30,100,12.673918566830000,41.512168531939999,A,0.100000000000000,F,Attema et al. 2010,15078,185
187,120,Campo Cerreto,settlement,Iron Age,-600,-500,12.690398713760001,41.503827016179997,A,0.100000000000000,F,Attema et al. 2010,15079,186
188,121,Campana,settlement,Imperial Period,-30,400,12.654063906930000,41.511016233470002,A,0.100000000000000,F,Attema et al. 2010,15080,187
189,122,Campana,settlement,Republican Period,-350,-100,12.669737368570001,41.500708845760002,A,1.000000000000000,F,Attema et al. 2010,15081,188
190,123,Cadolino,settlement,Republican Period,-350,-30,12.668038343479999,41.494737666360002,A,0.200000000000000,F,Attema et al. 2010,15082,189
191,123,Cadolino,settlement,Imperial Period,-30,250,12.668038343479999,41.494737666360002,A,0.200000000000000,F,Attema et al. 2010,15082,190
192,123,Cadolino,settlement,Republican Period,-350,-30,12.674129763650001,41.493048249040001,A,0.200000000000000,F,Attema et al. 2010,15083,191
193,123,Cadolino,settlement,Imperial Period,-30,400,12.674129763650001,41.493048249040001,A,0.200000000000000,F,Attema et al. 2010,15083,192
194,124,I Cioccatti,settlement,Republican Period,-100,-30,12.648550557840000,41.480682656470002,A,0.100000000000000,F,Attema et al. 2010,15043,193
195,124,I Cioccatti,settlement,Imperial Period,-30,400,12.648550557840000,41.480682656470002,A,0.100000000000000,F,Attema et al. 2010,15043,194
