MATRIX_FROM_ID,MATRIX_TO_ID,TYPE,TO_SU DEFINITION,EXCAV_YEAR
2939,2944,Covers,Hyper-compact gray deposit with ceramic inclusions in S. half of courtyard ,2018
2934,2944,Covers,Hyper-compact gray deposit with ceramic inclusions in S. half of courtyard ,2018
2931,2944,Covers,Hyper-compact gray deposit with ceramic inclusions in S. half of courtyard ,2018
2931,2941,Covers,Friable light gray deposit with stone inclusions in center of courtyard.,2018
2934,2938,Covers,"Friable brown deposit in SE corner of courtyard, fill of depression 2940",2018
2944,2947,Covers,Grey-brown friable surface with rocky inclusions.,2018
2899,2946,Covers,Compact red deposit surrounding cut 2904,2018
2944,2945,Covers,Loose gray deposit in SW quadrant of courtyard,2018
2934,2942,Covers,"Loose circular brown deposit in SW corner of courtyard, fill of 2493",2018
2924,2925,Fills,"Semi- circular, linear cut in N. half of courtyard, filled by 2924",2018
2894,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2891,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2888,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2885,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2879,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2876,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2870,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2869,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2846,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2840,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2828,2924,Covers,"Fill of semi- circular, linear cut 2425 in N. half of courtyard",2018
2903,2946,Abuts,Compact red deposit surrounding cut 2904,2018
